No.,住所,小学校,中学校,備考
20,荒木町,酒生,足羽第一,
21,荒木新保町,酒生,足羽第一,
22,荒木別所町,岡保,大東,
23,荒谷町,本郷,川西,
24,赤谷町,美山啓明,美山,
25,朝谷町,美山啓明,美山,
26,味見河内町,美山啓明,美山,
27,赤坂町,越廼小,越廼,
28,在田町,清水南,清水,
29,朝宮町,清水北,清水,
30,飯塚町,東安居,光陽,
31,幾久町,松本,進明,
32,幾代2丁目,松本,進明,
33,池尻町,鶉,川西,
34,生部町,上文殊,足羽第一,
35,石新保町,棗,棗,
36,石橋町,棗,棗,
37,石畠町,棗,棗,
38,石盛町,森田,森田,
39,泉田町,東藤島,大東,
40,板垣町,木田,明倫,
41,板垣1丁目,木田,明倫,
42,板垣2丁目,木田,明倫,
43,板垣3丁目,木田,明倫,
44,板垣4丁目,木田,明倫,
45,板垣5丁目,木田,明倫,
46,一王寺町,本郷,川西,
47,市ノ瀬町,棗,棗,
48,一本木町,木田,明倫,
49,糸崎町,鷹巣,鷹巣,
50,稲津町,酒生,足羽第一,
51,稲多新町,森田,森田,
52,稲多浜町,森田,森田,
53,稲多元町,森田,森田,
54,今泉町,円山,大東,
55,今市町,麻生津・清明,足羽,1～44番は麻生津小学校、45～66番は清明小学校
56,岩倉町,上文殊,足羽第一,
57,印田町,岡保,大東,
58,市波町,下宇坂,美山,
59,居倉町,越廼,越廼,
60,上野町,鶉,川西,
61,上伏町,西藤島,藤島,
62,羽水1丁目,木田,明倫,
63,羽水2丁目,木田,明倫,
64,羽水3丁目,木田,明倫,
65,内山梨子町,鶉,川西,
66,上野本町新,森田,森田,
67,馬垣町,木田,明倫,
68,運動公園1丁目,社西,社,
69,運動公園2丁目,社西,社,
70,運動公園3丁目,社西,社,
71,運動公園4丁目,社西,社,
72,謡谷町,殿下,清水,
73,宇坂大谷町,下宇坂,美山,
74,宇坂別所町,下宇坂,美山,
75,獺ケ口町,下宇坂,美山,
76,江上町,鶉,川西,
77,江尻ケ丘町,麻生津,足羽,
78,江端町,清明,足羽,
79,海老助町,西藤島,藤島,
80,江守中町,社南,至民,
81,江守中1丁目,社南,至民,
82,江守中2丁目,社南,至民,
83,江守の里1丁目,社南,至民,
